#Input Gene: The gene identifier provided in the query by the user
#Input Mirna: The miRNA identifier provided in the query by the user
#Transcript: The transcript in the prediction group
#Mirna: The miRNA in the prediction group
#ENCODE isoform: whether the isoform is the ENCODE principal isoform.
#Amplified UTR: whether the transcript UTR is known or was amplified.
#Start: The binding start position of the prediction group (if the group has more than one prediction, this is the left most position).
#Stop: The binding end position of the prediction group (if the group has more than one prediction, this is the right most position).
#Agreement: The agreement score, which is a weighted mean (using each method's experimental AUC) of the computational methods scores in the prediction group.
#Computational Predictions: number of computational methods supporting this prediction group.
#Confirmed Predictions: number of confirmed databases of gene-miRNA biding supporting this prediction group.
#Computational Predictions (method|target-site|start|stop|score): details of the computational predictions supporting this prediction group.
#Confirmed predictions (method|type|PMID): detail of the cofirmed database entries supporting this prediction group.
Input Gene,Input Mirna,Transcript,Mirna,biotype,ENCODE isoform,Amplified UTR,Start,Stop,Agreement,Computational Predictions,Confirmed Predictions,Computational Predictions (method|target-site|start|stop|score),Confirmed predictions (method|type|PMID)
ENSG00000183647,-,ENST00000332854,hsa-mir-4293,protein_coding,PRINCIPAL,false,218,234,1.12675096317469,1,0,Miranda|7mer-m8|218|234|1.12675096317469|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-4659b-3p,protein_coding,PRINCIPAL,false,3366,3389,1.0718982884376,1,0,Miranda|N/A|3366|3389|1.0718982884376|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-4505,protein_coding,PRINCIPAL,false,2931,2948,1.20902997528032,1,0,Miranda|7mer-m8|2931|2948|1.20902997528032|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-4505,protein_coding,PRINCIPAL,false,2970,2987,1.09932462580615,1,0,Miranda|Offset 3-8 6mer|2970|2987|1.09932462580615|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-5197-5p,protein_coding,PRINCIPAL,false,3655,3675,1.23645631264887,1,0,Miranda|7mer-m8|3655|3675|1.23645631264887|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-4716-3p,protein_coding,PRINCIPAL,false,2129,2150,1.14046413185896,1,0,Miranda|7mer-m8|2129|2150|1.14046413185896|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-4716-3p,protein_coding,PRINCIPAL,false,2872,2892,1.12675096317469,1,0,Miranda|7mer-m8|2872|2892|1.12675096317469|;,
ENSG00000183292,-,ENST00000409982,hsa-mir-3135b,protein_coding,LONGEST,false,311,333,1.19531680659605,1,0,Miranda|7mer-m8|311|333|1.19531680659605|;,
ENSG00000183647,-,ENST00000332854,hsa-mir-520c-3p,protein_coding,PRINCIPAL,false,849,870,1.05818511975333,1,0,Miranda|N/A|849|870|1.05818511975333|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-6847-5p,protein_coding,PRINCIPAL,false,1281,1302,1.12675096317469,1,0,Miranda|N/A|1281|1302|1.12675096317469|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-6847-5p,protein_coding,PRINCIPAL,false,679,701,1.11303779449042,1,0,Miranda|N/A|679|701|1.11303779449042|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-6847-5p,protein_coding,PRINCIPAL,false,2225,2246,1.05818511975333,1,0,Miranda|7mer-m8|2225|2246|1.05818511975333|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-6878-3p,protein_coding,PRINCIPAL,false,3458,3478,1.0718982884376,1,0,Miranda|8mer|3458|3478|1.0718982884376|;,
ENSG00000183292,-,ENST00000409982,ebv-mir-bart17-5p,protein_coding,LONGEST,false,-4,2,0.0,4,0,Microtar|7mer-m8|-3|2|0.0|;Microtar|7mer-m8|-4|1|0.0|;Microtar|7mer-m8|-4|1|0.0|;Microtar|7mer-m8|-3|2|0.0|;,
ENSG00000183292,-,ENST00000409982,ebv-mir-bart17-5p,protein_coding,LONGEST,false,49,56,0.0,3,0,Microtar|7mer-m8|50|55|0.0|;Microtar|Offset 1-7 7mer-m8|51|56|0.0|;Microtar|7mer-m8|49|54|0.0|;,
ENSG00000183292,-,ENST00000409982,ebv-mir-bart17-5p,protein_coding,LONGEST,false,60,65,0.0,1,0,Microtar|Offset 1-7 8mer|60|65|0.0|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-6884-5p,protein_coding,PRINCIPAL,false,2846,2867,1.0718982884376,1,0,Miranda|7mer-m8|2846|2867|1.0718982884376|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-3617-3p,protein_coding,PRINCIPAL,false,2772,2793,1.08561145712188,1,0,Miranda|N/A|2772|2793|1.08561145712188|;,
ENSG00000183647,-,ENST00000332854,hsa-mir-27a-5p,protein_coding,PRINCIPAL,false,691,713,1.27759581870169,1,0,Miranda|N/A|691|713|1.27759581870169|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-148a-5p,protein_coding,PRINCIPAL,false,2050,2071,1.2227431439646,1,0,Miranda|N/A|2050|2071|1.2227431439646|;,
ENSG00000183647,-,ENST00000332854,hsa-mir-4478,protein_coding,PRINCIPAL,false,262,277,1.11303779449042,1,0,Miranda|8mer|262|277|1.11303779449042|;,
ENSG00000183292,-,ENST00000409982,hsa-mir-29b-1-5p,protein_coding,LONGEST,false,142,166,1.09932462580615,1,0,Miranda|N/A|142|166|1.09932462580615|;,
ENSG00000197951,-,ENST00000328070,hsa-mir-6773-5p,protein_coding,PRINCIPAL,false,2697,2722,1.04447195106906,1,0,Miranda|Offset 3-8 6mer|2697|2722|1.04447195106906|;,
