#Input Gene: The gene identifier provided in the query by the user
#Input Mirna: The miRNA identifier provided in the query by the user
#Transcript: The transcript in the prediction group
#Mirna: The miRNA in the prediction group
#ENCODE isoform: whether the isoform is the ENCODE principal isoform.
#Amplified UTR: whether the transcript UTR is known or was amplified.
#Start: The binding start position of the prediction group (if the group has more than one prediction, this is the left most position).
#Stop: The binding end position of the prediction group (if the group has more than one prediction, this is the right most position).
#Agreement: The agreement score, which is a weighted mean (using each method's experimental AUC) of the computational methods scores in the prediction group.
#Computational Predictions: number of computational methods supporting this prediction group.
#Confirmed Predictions: number of confirmed databases of gene-miRNA biding supporting this prediction group.
#Computational Predictions (method|target-site|start|stop|score): details of the computational predictions supporting this prediction group.
#Confirmed predictions (method|type|PMID): detail of the cofirmed database entries supporting this prediction group.
Input Gene,Input Mirna,Transcript,Mirna,biotype,ENCODE isoform,Amplified UTR,Start,Stop,Agreement,Computational Predictions,Confirmed Predictions,Computational Predictions (method|target-site|start|stop|score),Confirmed predictions (method|type|PMID)
ENSG00000127415,-,ENST00000453894,hsa-mir-1262,protein_coding,PRINCIPAL,false,81,87,-0.8689964126077059,1,0,Rnahybrid|7mer-m8|81|87|-0.868996412607706|;,
ENSG00000239857,-,ENST00000265857,hsa-mir-5092,protein_coding,PRINCIPAL,false,2,21,1.08561145712188,1,0,Miranda|Offset 3-8 6mer|2|21|1.08561145712188|;,
ENSG00000239857,-,ENST00000265857,hsa-mir-4674,protein_coding,PRINCIPAL,false,409,430,1.15417730054324,1,0,Miranda|7mer-m8|409|430|1.15417730054324|;,
ENSG00000239857,-,ENST00000265857,hsa-mir-6845-5p,protein_coding,PRINCIPAL,false,92,100,-0.870482440132177,1,0,Rnahybrid|Offset 1-7 7mer-m8|92|100|-0.870482440132177|;,
ENSG00000127415,-,ENST00000453894,hsa-mir-3692-5p,protein_coding,PRINCIPAL,false,20,41,0.10291776499214458,2,0,Miranda|N/A|20|41|1.04447195106906|;Rnahybrid|Offset 1-7 7mer-m8|32|40|-0.874195938785541|;,
ENSG00000110011,-,ENST00000321460,hsa-mir-6753-5p,protein_coding,LONGEST,false,104,127,0.14692376223187126,2,0,Rnahybrid|8mer|119|125|-0.869908406891054|;Miranda|Offset 3-8 6mer|104|127|1.12675096317469|;,
ENSG00000110011,-,ENST00000321460,hsa-mir-328-3p,protein_coding,LONGEST,false,86,92,-0.8719837852660689,1,0,Rnahybrid|7mer-m8|86|92|-0.871983785266069|;,
ENSG00000163235,-,ENST00000445399,hsa-mir-6854-5p,protein_coding,LONGEST,false,92,114,0.1048118725705532,2,0,Rnahybrid|8mer|105|112|-0.87033618918816|;Miranda|Offset 3-8 6mer|92|114|1.04447195106906|;,
ENSG00000110011,-,ENST00000321460,hsa-mir-650,protein_coding,LONGEST,false,110,117,-0.869864483611758,1,0,Rnahybrid|Offset 1-7 7mer-m8|110|117|-0.869864483611758|;,
ENSG00000163235,-,ENST00000445399,hsa-mir-7-5p,protein_coding,LONGEST,false,55,76,0.14039174600609733,2,0,Miranda|7mer-m8|55|76|1.11303779449042|;Rnahybrid|Offset 1-7 7mer-m8|67|75|-0.868988061287978|;,
